rep_id,rep_name,team,region,start_date,end_date
SR001,Name 1,Team D,South,2023-02-08,
SR002,Name 2,Team A,West,2023-01-27,2023-09-01
SR003,Name 3,Team B,North,2023-03-04,
SR004,Name 4,Team B,,2023-01-05,2023-09-01
SR005,Name 5,Team A,,2023-03-22,2023-09-01
SR006,Name 6,Team A,,2023-01-05,
SR007,Name 7,Team C,East,2023-01-08,
SR008,Name 8,Team B,East,2023-04-09,
SR009,Name 9,Team C,East,2023-01-04,
SR010,Name 10,Team B,South,2023-02-21,2023-09-01
SR011,Name 11,Team C,West,2023-01-24,2023-09-01
SR012,Name 12,Team D,South,2023-03-14,2023-09-01
SR013,Name 13,Team C,South,2023-02-26,
SR014,Name 14,Team C,South,2023-01-25,
SR015,Name 15,Team A,North,2023-02-13,2023-09-01
SR016,Name 16,Team B,West,2023-03-16,
SR017,Name 17,Team C,South,2023-02-17,2023-09-01
SR018,Name 18,Team B,,2023-03-15,2023-09-01
SR019,Name 19,Team A,South,2023-02-08,
SR020,Name 20,Team B,East,2023-01-26,2023-09-01
SR021,Name 21,Team A,South,2023-01-04,
SR022,Name 22,Team A,North,2023-03-10,2023-09-01
SR023,Name 23,Team C,South,2023-01-18,
SR024,Name 24,Team A,East,2023-03-07,
SR025,Name 25,Team A,,2023-01-01,
SR026,Name 26,Team D,West,2023-02-06,2023-09-01
SR027,Name 27,Team C,North,2023-03-30,
SR028,Name 28,Team D,North,2023-03-10,2023-09-01
SR029,Name 29,Team B,West,2023-01-20,
SR030,Name 30,Team D,East,2023-02-08,2023-09-01
SR031,Name 31,Team A,West,2023-01-05,
SR032,Name 32,Team A,,2023-03-20,
SR033,Name 33,Team D,North,2023-02-15,
SR034,Name 34,Team A,North,2023-02-19,2023-09-01
SR035,Name 35,Team C,,2023-03-12,
SR036,Name 36,Team C,West,2023-01-09,2023-09-01
SR037,Name 37,Team D,,2023-01-09,2023-09-01
SR038,Name 38,Team A,,2023-01-14,
SR039,Name 39,Team D,North,2023-01-15,
SR040,Name 40,Team D,South,2023-01-10,2023-09-01
SR041,Name 41,Team D,,2023-01-30,
SR042,Name 42,Team D,West,2023-01-26,
SR043,Name 43,Team B,,2023-01-22,
SR044,Name 44,Team C,East,2023-03-14,
SR045,Name 45,Team C,West,2023-02-19,2023-09-01
SR046,Name 46,Team A,East,2023-03-17,2023-09-01
SR047,Name 47,Team A,South,2023-01-01,
SR048,Name 48,Team A,West,2023-01-08,
SR049,Name 49,Team B,East,2023-03-11,
SR050,Name 50,Team C,West,2023-01-29,2023-09-01
SR051,Name 51,Team D,,2023-03-16,2023-09-01
SR052,Name 52,Team D,,2023-02-25,2023-09-01
SR053,Name 53,Team A,North,2023-04-03,
SR054,Name 54,Team B,South,2023-01-31,2023-09-01
SR055,Name 55,Team A,South,2023-02-04,2023-09-01
SR056,Name 56,Team D,East,2023-02-24,2023-09-01
SR057,Name 57,Team C,South,2023-01-15,
SR058,Name 58,Team B,North,2023-03-28,2023-09-01
SR059,Name 59,Team B,South,2023-03-04,
SR060,Name 60,Team A,West,2023-02-01,2023-09-01
SR061,Name 61,Team B,West,2023-02-01,2023-09-01
SR062,Name 62,Team D,East,2023-03-06,2023-09-01
SR063,Name 63,Team C,South,2023-01-10,
SR064,Name 64,Team B,West,2023-01-14,
SR065,Name 65,Team B,North,2023-04-04,
SR066,Name 66,Team D,North,2023-02-15,
SR067,Name 67,Team D,South,2023-02-16,
SR068,Name 68,Team C,West,2023-01-13,2023-09-01
SR069,Name 69,Team B,West,2023-01-27,
SR070,Name 70,Team A,West,2023-01-19,
SR071,Name 71,Team D,West,2023-01-18,
SR072,Name 72,Team A,East,2023-01-16,
SR073,Name 73,Team A,South,2023-03-02,2023-09-01
SR074,Name 74,Team B,East,2023-01-10,
SR075,Name 75,Team A,West,2023-03-26,
SR076,Name 76,Team D,West,2023-01-30,2023-09-01
SR077,Name 77,Team A,West,2023-02-10,2023-09-01
SR078,Name 78,Team B,West,2023-03-02,
SR079,Name 79,Team C,East,2023-04-11,2023-09-01
SR080,Name 80,Team B,West,2023-02-27,2023-09-01
SR081,Name 81,Team A,North,2023-01-07,
