ad_id,brand,product_id,timestamp,impressions,clicks
AD0001,Brand A,P004,2023-09-15 14:00:00,3935,56
AD0002,Brand C,P001,2023-09-15 14:01:00,1370,111
AD0003,Brand C,P001,2023-09-15 14:02:00,2773,187
AD0004,Brand C,P004,2023-09-15 14:03:00,3276,191
AD0005,Brand A,P001,2023-09-15 14:04:00,1982,89
AD0006,Brand B,P002,2023-09-15 14:05:00,4836,73
AD0007,Brand A,P002,2023-09-15 14:06:00,4228,171
AD0008,Brand A,P001,2023-09-15 14:07:00,3387,241
AD0009,Brand A,P003,2023-09-15 14:08:00,4734,50
AD0010,Brand C,P003,2023-09-15 14:09:00,3644,82
AD0011,Brand B,P003,2023-09-15 14:10:00,4865,70
AD0012,Brand B,P001,2023-09-15 14:11:00,2131,107
AD0013,Brand A,P004,2023-09-15 14:12:00,4605,151
AD0014,Brand B,P003,2023-09-15 14:13:00,2834,261
AD0015,Brand B,P003,2023-09-15 14:14:00,3919,279
AD0016,Brand A,P001,2023-09-15 14:15:00,3957,194
AD0017,Brand C,P003,2023-09-15 14:16:00,3418,243
AD0018,Brand B,P003,2023-09-15 14:17:00,1310,238
AD0019,Brand B,P003,2023-09-15 14:18:00,4947,65
AD0020,Brand C,P003,2023-09-15 14:19:00,3678,85
AD0021,Brand A,P002,2023-09-15 14:20:00,4715,77
AD0022,Brand C,P003,2023-09-15 14:21:00,3936,80
AD0023,Brand A,P003,2023-09-15 14:22:00,2748,179
AD0024,Brand C,P001,2023-09-15 14:23:00,3478,150
AD0025,Brand A,P001,2023-09-15 14:24:00,4543,190
AD0026,Brand A,P003,2023-09-15 14:25:00,1231,254
AD0027,Brand A,P001,2023-09-15 14:26:00,2279,57
AD0028,Brand A,P002,2023-09-15 14:27:00,1524,116
AD0029,Brand C,P001,2023-09-15 14:28:00,3136,110
AD0030,Brand A,P001,2023-09-15 14:29:00,2068,103
AD0031,Brand A,P004,2023-09-15 14:30:00,2171,233
AD0032,Brand C,P004,2023-09-15 14:31:00,3313,156
AD0033,Brand C,P003,2023-09-15 14:32:00,1942,104
AD0034,Brand C,P003,2023-09-15 14:33:00,4612,274
AD0035,Brand B,P001,2023-09-15 14:34:00,1612,250
AD0036,Brand B,P001,2023-09-15 14:35:00,4213,204
AD0037,Brand A,P004,2023-09-15 14:36:00,2404,78
AD0038,Brand A,P002,2023-09-15 14:37:00,3019,285
AD0039,Brand A,P001,2023-09-15 14:38:00,2489,217
AD0040,Brand B,P004,2023-09-15 14:39:00,2823,108
AD0041,Brand B,P001,2023-09-15 14:40:00,1576,216
AD0042,Brand C,P002,2023-09-15 14:41:00,1363,208
AD0043,Brand C,P002,2023-09-15 14:42:00,1596,151
AD0044,Brand A,P001,2023-09-15 14:43:00,4747,230
AD0045,Brand C,P001,2023-09-15 14:44:00,4564,288
AD0046,Brand C,P001,2023-09-15 14:45:00,1642,206
AD0047,Brand C,P001,2023-09-15 14:46:00,4219,101
AD0048,Brand C,P001,2023-09-15 14:47:00,1253,175
AD0049,Brand A,P004,2023-09-15 14:48:00,3425,165
AD0050,Brand B,P004,2023-09-15 14:49:00,1667,57
AD0051,Brand C,P002,2023-09-15 14:50:00,4638,72
AD0052,Brand A,P002,2023-09-15 14:51:00,4855,109
AD0053,Brand C,P004,2023-09-15 14:52:00,2164,170
AD0054,Brand B,P001,2023-09-15 14:53:00,2886,149
AD0055,Brand A,P004,2023-09-15 14:54:00,2244,218
AD0056,Brand C,P002,2023-09-15 14:55:00,3307,238
AD0057,Brand C,P004,2023-09-15 14:56:00,2617,122
AD0058,Brand A,P002,2023-09-15 14:57:00,4527,243
AD0059,Brand B,P004,2023-09-15 14:58:00,1473,174
AD0060,Brand B,P002,2023-09-15 14:59:00,1008,236
AD0061,Brand C,P003,2023-09-15 15:00:00,4842,218
AD0062,Brand A,P004,2023-09-15 15:01:00,1178,140
AD0063,Brand C,P001,2023-09-15 15:02:00,4240,234
AD0064,Brand A,P002,2023-09-15 15:03:00,1780,75
AD0065,Brand B,P001,2023-09-15 15:04:00,4170,109
AD0066,Brand C,P001,2023-09-15 15:05:00,2124,134
AD0067,Brand A,P001,2023-09-15 15:06:00,2049,292
AD0068,Brand A,P003,2023-09-15 15:07:00,2030,261
AD0069,Brand A,P001,2023-09-15 15:08:00,2498,170
AD0070,Brand B,P004,2023-09-15 15:09:00,1683,178
AD0071,Brand A,P002,2023-09-15 15:10:00,2885,138
AD0072,Brand A,P002,2023-09-15 15:11:00,1350,219
AD0073,Brand B,P001,2023-09-15 15:12:00,3196,290
AD0074,Brand B,P001,2023-09-15 15:13:00,4454,218
AD0075,Brand C,P001,2023-09-15 15:14:00,1773,64
AD0076,Brand B,P002,2023-09-15 15:15:00,1904,151
AD0077,Brand B,P001,2023-09-15 15:16:00,4676,179
AD0078,Brand A,P004,2023-09-15 15:17:00,1081,283
AD0079,Brand A,P001,2023-09-15 15:18:00,4759,140
AD0080,Brand C,P002,2023-09-15 15:19:00,1849,206
AD0081,Brand B,P003,2023-09-15 15:20:00,4794,136
AD0082,Brand C,P001,2023-09-15 15:21:00,2508,71
AD0083,Brand C,P003,2023-09-15 15:22:00,2646,218
AD0084,Brand B,P003,2023-09-15 15:23:00,2328,167
AD0085,Brand A,P004,2023-09-15 15:24:00,3970,170
AD0086,Brand A,P002,2023-09-15 15:25:00,3948,60
AD0087,Brand A,P002,2023-09-15 15:26:00,2645,109
AD0088,Brand B,P004,2023-09-15 15:27:00,3991,236
AD0089,Brand C,P003,2023-09-15 15:28:00,2459,154
AD0090,Brand A,P003,2023-09-15 15:29:00,2659,176
AD0091,Brand C,P002,2023-09-15 15:30:00,2120,57
AD0092,Brand A,P003,2023-09-15 15:31:00,3149,112
AD0093,Brand A,P001,2023-09-15 15:32:00,2999,289
AD0094,Brand B,P003,2023-09-15 15:33:00,4735,298
AD0095,Brand A,P001,2023-09-15 15:34:00,1219,233
AD0096,Brand C,P004,2023-09-15 15:35:00,4682,94
AD0097,Brand A,P004,2023-09-15 15:36:00,3968,145
AD0098,Brand B,P003,2023-09-15 15:37:00,2494,121
AD0099,Brand A,P003,2023-09-15 15:38:00,2957,187
AD0100,Brand B,P001,2023-09-15 15:39:00,4196,103
AD0101,Brand C,P003,2023-09-15 15:40:00,1632,129
AD0102,Brand C,P001,2023-09-15 15:41:00,1283,108
AD0103,Brand B,P004,2023-09-15 15:42:00,2189,180
AD0104,Brand C,P004,2023-09-15 15:43:00,4872,100
AD0105,Brand B,P004,2023-09-15 15:44:00,1981,125
AD0106,Brand B,P001,2023-09-15 15:45:00,2384,70
AD0107,Brand A,P004,2023-09-15 15:46:00,2912,178
AD0108,Brand A,P003,2023-09-15 15:47:00,1498,78
AD0109,Brand A,P003,2023-09-15 15:48:00,4548,290
AD0110,Brand C,P002,2023-09-15 15:49:00,4751,125
AD0111,Brand B,P003,2023-09-15 15:50:00,3203,252
AD0112,Brand A,P003,2023-09-15 15:51:00,1200,290
AD0113,Brand C,P003,2023-09-15 15:52:00,3643,59
