transaction_id,product_id,rep_id,date,revenue
T0001,P003,SR2245,2023-08-25,847.64
T0002,P001,SR1288,2023-08-22,129.92
T0003,P001,SR2976,2023-08-19,813.37
T0004,P001,SR2806,2023-08-29,1846.37
T0005,P003,SR1123,2023-08-24,1745.07
T0006,P001,SR026,2023-09-07,334.09
T0007,P001,SR1015,2023-08-17,1324.39
T0008,P004,SR1634,2023-09-02,1599.39
T0009,P004,SR1436,2023-08-19,805.64
T0010,P002,SR2070,2023-09-09,720.51
T0011,P003,SR2764,2023-08-25,916.48
T0012,P002,SR2460,2023-08-29,364.03
T0013,P004,SR2952,2023-08-22,1424.23
T0014,P002,SR1483,2023-09-08,819.58
T0015,P001,SR917,2023-09-09,1175.85
T0016,P004,SR1568,2023-08-28,1288.28
T0017,P004,SR2292,2023-08-18,974.43
T0018,P002,SR2172,2023-08-22,703.42
T0019,P003,SR1783,2023-08-25,238.19
T0020,P004,SR493,2023-09-05,820.61
T0021,P003,SR1522,2023-09-04,1595.42
T0022,P001,SR865,2023-08-25,1848.39
T0023,P003,SR1808,2023-09-10,1480.96
T0024,P004,SR315,2023-09-05,897.26
T0025,P001,SR502,2023-09-04,1930.54
T0026,P001,SR907,2023-09-15,502.55
T0027,P002,SR2662,2023-08-22,249.03
T0028,P003,SR1445,2023-09-11,684.72
T0029,P001,SR1733,2023-08-27,1293.01
T0030,P001,SR2884,2023-08-18,1380.78
T0031,P003,SR815,2023-09-07,1973.58
T0032,P003,SR208,2023-09-08,1094.64
T0033,P003,SR1466,2023-09-07,1441.87
T0034,P003,SR2413,2023-09-06,1051.53
T0035,P003,SR686,2023-08-21,782.0
T0036,P002,SR2510,2023-09-09,1059.11
T0037,P001,SR266,2023-08-28,1741.85
T0038,P003,SR683,2023-08-29,218.63
T0039,P001,SR2583,2023-08-17,1724.25
T0040,P004,SR172,2023-08-31,422.22
T0041,P004,SR664,2023-08-24,220.63
T0042,P003,SR1065,2023-08-27,208.9
T0043,P002,SR1588,2023-08-29,1330.2
T0044,P002,SR1968,2023-08-20,364.12
T0045,P002,SR1879,2023-09-04,317.66
T0046,P003,SR2197,2023-09-10,1369.11
T0047,P004,SR2706,2023-09-12,1819.73
T0048,P004,SR096,2023-08-31,894.25
T0049,P003,SR1042,2023-08-18,409.88
T0050,P001,SR269,2023-08-19,638.99
T0051,P001,SR2107,2023-08-28,1904.62
T0052,P003,SR1627,2023-09-02,252.99
T0053,P004,SR788,2023-09-08,691.44
T0054,P002,SR609,2023-09-04,1290.87
T0055,P004,SR1612,2023-09-08,311.52
T0056,P003,SR961,2023-08-27,1199.64
T0057,P002,SR051,2023-09-10,360.71
T0058,P003,SR954,2023-09-13,1978.37
T0059,P002,SR2372,2023-08-29,1106.07
T0060,P001,SR2833,2023-08-23,211.28
T0061,P003,SR2604,2023-08-24,1576.44
T0062,P002,SR2215,2023-08-22,1410.67
T0063,P003,SR2734,2023-08-29,437.43
T0064,P001,SR2686,2023-09-12,973.04
T0065,P004,SR2711,2023-09-01,1570.39
T0066,P003,SR521,2023-09-06,1814.72
T0067,P001,SR735,2023-09-08,1704.08
T0068,P003,SR187,2023-09-03,293.31
T0069,P001,SR2966,2023-09-14,1081.14
